Zeit t / s;Spannung U_1 / V;Stromstärke I_1 / A;Phasenverschiebung &j_1 / °;Spannung U_A2 / V;Spannung U_B2 / V;Leistungsfaktor cos&j_2;Anzahl n_0;Frequenz f_0 / Hz;Frequenz f_1 / Hz;Frequenz f / Hz;Phasenverschiebung &j_2 / °;Leistung P / mW;Impedanz Z / k&W;Admittanz Y / 1/k&W
2,099;7,07399639524929;0,00353553390593274;54,3481464060576;0,285398405741868;1,87037068518516;-0,999172018362636;50;36,49635036;2007,29927;36,49635036;2,33172835022427;0,0533358834428074;1,52589220950934;0,655354286343434
4,2;7,0736200067575;0,00158113883008419;49,7935675727272;0,30345633952844;1,95241638745427;-0,989141059999894;50;36,49635036;2007,29927;135,052731331556;8,45133135987462;0,05860395;1,55426035900115;0,643392848700494
6,3;7,07695379382966;0,00111803398874989;39,956655301257;0,315663586750198;1,96302782710791;-0,970371233713957;50;36,49635036;2007,29927;229,173344464496;13,9821059237749;0,060129675;1,60804438119076;0,621873383407177
8,4;7,07451058377892;0,001;37,865492764197;0,331007552783921;1,96262719333041;-0,948312225833239;50;36,49635036;2007,29927;319,057832198245;18,5020636935995;0,061606575;1,68655338063583;0,592925199689204
10,5;7,07463426616528;0,000866025403784439;28,8769152631845;0,348607228840711;1,95478374763041;-0,921327981010246;50;36,49635036;2007,29927;404,89685158231;22,8789976501219;0,0627840560601838;1,78335444656368;0,560741024829296
12,601;7,07230514047577;0,000707106781186548;0;0,36939917433584;1,94398958330543;-0,898141182080942;50;36,49635036;2007,29927;486,872478685443;26,085200501231;0,06449625;1,90021169613337;0,526257154418555
14,7;7,07547171572327;0,000707106781186548;0;0,392045596837919;1,93167796229082;-0,875547190192495;50;36,49635036;2007,29927;565,158594803393;28,8901983059512;0,0663057;2,02955981530681;0,492717678216756
16,8;7,06870744903197;0,000866025403784439;-31,7159118249075;0,416673433278389;1,92083770787644;-0,849367491075467;50;36,49635036;2007,29927;639,921255284448;31,8570592658973;0,06798015;2,16922768420159;0,460993563415664
18,901;7,07506007041636;0,001;-50,3717534265435;0,442931992522554;1,90387348581779;-0,833748695755174;50;36,49635036;2007,29927;711,319041755094;33,5142322135001;0,0703089;2,32647807652143;0,429834267553128
21;7,07929728151036;0,000707106781186548;-18,3055473836176;0,469615001889846;1,88461912597745;-0,824472098404654;50;36,49635036;2007,29927;779,503398492901;34,4649933493801;0,072969525;2,49182975709366;0,401311525056329
23,1;7,0792513728501;0,0015;-62,5349821584986;0,498099387672782;1,86412948852809;-0,814437297219199;50;36,49635036;2007,29927;844,618953660148;35,4682389450426;0,075622275;2,67202139517721;0,374248500331966
25,201;7,06861018871461;0,000866025403784439;-42,5804852571553;0,526057506362185;1,84629710501858;-0,795622375876884;50;36,49635036;2007,29927;906,80382607954;37,2859198085971;0,0772754956430654;2,84925706124037;0,350968683592441
27,3;7,06911062298504;0,000866025403784439;-40,1053944632633;0,556986983689924;1,82304806574045;-0,795578351648048;50;36,49635036;2007,29927;966,189918202747;37,2900834132827;0,0807841430775897;3,05525122544533;0,327305326537998
29,4;7,07227509363147;0,00187082869338697;-68,1816856618403;0,586484654530705;1,79664875532197;-0,794500805179065;50;36,49635036;2007,29927;1022,9031958932;37,3918691618111;0,0837171;3,26432561063168;0,306341988906704
31,5;7,07580914100995;0,001;-50,3504895195511;0,61697791694679;1,76884093405823;-0,793026311461699;50;36,49635036;2007,29927;1077,06395561655;37,5307687335539;0,0865458;3,48803504638071;0,286694367087174
33,601;7,06882062298938;0,000866025403784439;-41,9211606617621;0,646132726303195;1,74357176508453;-0,793270756904901;50;36,49635036;2007,29927;1128,78707960564;37,5077719466016;0,0893682;3,70579943563074;0,269847307543183
35,7;7,07912953688517;0,0014142135623731;-58,1196016965624;0,677706241671124;1,71023156326855;-0,802760112495167;50;36,49635036;2007,29927;1178,18227954109;36,6055120604043;0,093042675;3,96265778404831;0,252355881960209
37,8;7,07541341548322;0,00122474487139159;-60,0594427247824;0,707593103414667;1,67880694244454;-0,811237975573449;50;36,49635036;2007,29927;1225,35432926449;35,7829380855245;0,09636795;4,21485690537071;0,237255978661047
39,9;7,06873220598998;0,00158113883008419;-73,950404742299;0,737057324771961;1,65436672173977;-0,807243750309397;50;36,49635036;2007,29927;1270,40328701777;36,1724941022473;0,098432325;4,45522334973502;0,224455638135286
42;7,07890528259843;0,00111803398874989;-57,5208943999787;0,766767076757994;1,61509883598497;-0,830959840651702;50;36,49635036;2007,29927;1313,42470768015;33,8025365461005;0,10290645;4,74749321635404;0,210637478439195
44,1;7,07578794198922;0,0013228756555323;-59,5053691605525;0,79532116154419;1,58931777816773;-0,829698785191735;50;36,49635036;2007,29927;1354,50984545283;33,9321916155932;0,104875425;5,00416702354573;0,199833457855179
46,201;7,07245714020241;0,00122474487139159;-59,8546030158734;0,822570513694723;1,55540959235823;-0,842628414762892;50;36,49635036;2007,29927;1393,74584742141;32,5812765423014;0,10780875;5,2884495359681;0,1890913382455
48,3;7,07237407098917;0,00122474487139159;-61,6735731174888;0,850375652285506;1,51988198555019;-0,858993790695225;50;36,49635036;2007,29927;1431,21593840652;30,7962071974319;0,111022425;5,59501106250478;0,178730656441691
50,4;7,07955153946915;0,00122474487139159;-59,696782682131;0,87681383428867;1,48815649378686;-0,871174863813279;50;36,49635036;2007,29927;1466,99959749486;29,4045454108187;0,11367405;5,89194643136941;0,169723199565407
52,501;7,06922025403085;0,00223606797749979;-67,6144163224502;0,900884565302348;1,45537340569354;-0,886679100044031;50;36,49635036;2007,29927;1501,17272662494;27,541134530937;0,116254575;6,19005790388924;0,161549377328392
54,6;7,06870744903197;0,00229128784747792;-68,1041006333361;0,924877424310919;1,43174430328882;-0,891585458192719;50;36,49635036;2007,29927;1533,80781158531;26,9268440706583;0,118062675;6,45979468670772;0,154803681618193
56,7;7,07957449286325;0,0013228756555323;-61,3347531325438;0,947182004685478;1,39316976711383;-0,918314048969724;50;36,49635036;2007,29927;1564,97407576665;23,3191612440573;0,121179375;6,79875509104475;0,14708575123072
58,8;7,06875165782474;0,0014142135623731;-64,9196487429843;0,968405390319571;1,36325492847083;-0,932884007105382;50;36,49635036;2007,29927;1594,73762699382;21,1110630105867;0,1231578;7,10362654918723;0,140773166082952
60,9;7,06906464816952;0,0016583123951777;-70,2178113670663;0,988406672377317;1,34276226488534;-0,934378957060415;50;36,49635036;2007,29927;1623,16159774943;20,8719583123548;0,124010325;7,36099530218568;0,135851193887201
63;7,0797775388779;0,00212132034355964;-78,1560303903578;1,00727317545937;1,31147617210531;-0,957055159584743;50;36,49635036;2007,29927;1650,30627908633;16,8523215129911;0,1264284;7,6804534987654;0,130200645073985
65,1;7,07906596946236;0,0016583123951777;-71,1905884049126;1,02425839025121;1,29102953103328;-0,963825456384627;50;36,49635036;2007,29927;1676,22924851298;15,4581362602974;0,12745125;7,9336557811458;0,126045297097018
67,2;7,06934226077646;0,00212132034355964;-79,6471010459717;1,0400031249953;1,27658019724575;-0,964774235509772;50;36,49635036;2007,29927;1700,98549212309;15,2528507529856;0,128088;8,14679036412388;0,122747727056254
69,3;7,07284596184591;0,00212132034355964;-79,594052282292;1,05493518758263;1,24824787201902;-0,984554385789997;50;36,49635036;2007,29927;1724,62752122849;10,0832563118626;0,12964815;8,45132774691852;0,118324602943557
71,399;7,07906067215136;0,00173205080756888;-72,301659715477;1,06832965417983;1,23758363353755;-0,982335519408506;50;36,49635036;2007,29927;1747,20548374265;10,7852308567764;0,129879225;8,63238350305333;0,115842860740176
73,5;7,07966277445473;0,0015;-67,8435700801211;1,08088921726512;1,21751776167742;-0,994859376088326;50;36,49635036;2007,29927;1768,76727055114;5,81208245890915;0,130923675;8,87781066763194;0,112640383697971
75,601;7,07934848697251;0,00234520787991171;-77,6800299075435;1,09185369899085;1,2056753294316;-0,996137202339998;50;36,49635036;2007,29927;1789,35861709463;5,0376560048949;0,1311336;9,0559512361059;0,110424622872639
77,7;7,07858213203746;0,00206155281280883;-72,7392814469694;1,10152099389889;1,19453034704021;-0,997573335997081;50;36,49635036;2007,29927;1809,02320037986;3,99236571320412;0,131260725;9,22137304111382;0,108443720424438
79,801;7,06870214395825;0,00187082869338697;-68,5779005654766;1,11086216516722;1,18729050783707;-0,998483524303045;50;36,49635036;2007,29927;1827,80273162445;3,15580569770663;0,1316916;9,35627934220513;0,106880092334259
81,901;7,07602996036619;0,00187082869338697;-68,8566273197473;1,11880695385755;1,17862303133784;-0,998919241905527;50;36,49635036;2007,29927;1845,73704473199;2,66404158879061;0,13172265;9,49249186644182;0,105346416311952
84;7,07225211654675;0,00187082869338697;-69,2389545238134;1,1261084539244;1,17211635514568;-0,994764013396295;50;36,49635036;2007,29927;1862,86418078508;-5,86579083225232;0,1313019;9,60748008489682;0,104085565742886
86,101;7,06835553718119;0,00187082869338697;-69,1806326611341;1,13272249470027;1,16656032848713;-0,995213464845261;50;36,49635036;2007,29927;1879,22046873556;-5,60817606304286;0,131506425;9,70993498612503;0,102987301297995
88,201;7,06911062298504;0,00193649167310371;-69,8418340771464;1,13824404237404;1,16312402606085;-0,99106328010506;50;36,49635036;2007,29927;1894,84060246311;-7,66567963356707;0,13120875;9,78609345925843;0,102185821560279
