Zeit t / s;Spannung U_1 / V;Stromstärke I_1 / A;Phasenverschiebung &j_1 / °;Spannung U_A2 / V;Spannung U_B2 / V;Leistungsfaktor cos&j_2;Anzahl n_0;Frequenz f_0 / Hz;Frequenz f_1 / Hz;Frequenz f / Hz;Phasenverschiebung &j_2 / °;Leistung P / mW;Impedanz Z / k&W;Admittanz Y / 1/k&W
2,101;7,07399639524929;0,0035;55,2008173276537;2,16542859498992;0,110400407607943;-0,218059626250527;50;36,49635036;2007,29927;36,49635036;77,4049089730685;0,005213025;196,143170293342;0,00509831669644398
4,2;7,0736200067575;0,00158113883008419;52,3456181740683;2,19815212166947;0,407566865679731;-0,128903088758903;50;36,49635036;2007,29927;135,052731331556;82,5937893810771;0,01154835;53,9335335320608;0,0185413403222607
6,301;7,07695379382966;0,00111803398874989;43,9907656438515;2,11199467328874;0,658423116240613;-0,151134653110121;50;36,49635036;2007,29927;229,173344464496;81,3073129171491;0,021016575;32,0765571741702;0,0311754155712588
8,401;7,07451058377892;0,000866025403784439;32,364183895946;1,98532692521912;0,866056147140588;-0,182470142425991;50;36,49635036;2007,29927;319,057832198245;79,486328207068;0,031374;22,9237669148122;0,043622848012551
10,501;7,07463426616528;0,000707106781186548;0;1,85315696852695;1,02604605159808;-0,219327078762043;50;36,49635036;2007,29927;404,89685158231;77,3304878219839;0,0417033857065908;18,0611480901919;0,0553674658447128
12,6;7,07230514047577;0,000707106781186548;0;1,71787921577741;1,16173523231414;-0,253576425874624;50;36,49635036;2007,29927;486,872478685443;75,3107519350532;0,050606775;14,787183585329;0,0676261300354818
14,7;7,07547171572327;0,000707106781186548;0;1,59768097566442;1,25867162119434;-0,290244085883998;50;36,49635036;2007,29927;565,158594803393;73,1274303492741;0,0583668;12,6933899895859;0,0787811609680656
16,8;7,06870744903197;0,000707106781186548;0;1,48882008651146;1,33421015960755;-0,330595231841813;50;36,49635036;2007,29927;639,921255284448;70,6950923864268;0,0656694;11,158812393914;0,0896152712940494
18,9;7,07506007041636;0,00111803398874989;-56,6163915233328;1,37775469514714;1,40709754459312;-0,364963187641116;50;36,49635036;2007,29927;711,319041755094;68,5946827734984;0,07075305;9,79146542072558;0,102129758624618
21,001;7,07929728151036;0,000707106781186548;-17,5621091683142;1,29724245998965;1,45100870086985;-0,399789732502719;50;36,49635036;2007,29927;779,503398492901;66,4349656987759;0,075252825;8,9402803664236;0,111853315445859
